feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,target
200.0,2.0,662.28,39.10000000000003,-188.55,0.2469776609724047,761.0,0.0045480080800353,3.5237031125299283,167326.0,33441.060000000005,0.0198043961525143,26.85,0.0091984231274638,94.61142857142856,7.0,0
150.0,3.0,0.0,149.54999999999998,-0.4499999999999999,0.15,3.0,0.0379746835443038,0.0,79.0,78.93,0.0,0.0,0.0,0.0,0.0,1
50.0,23.0,346.08,30.41,-102.1,2.4309523809523808,42.0,0.0042394266680125,3.3896180215475025,9907.0,18858.770000000004,0.0183511437914561,25.525,0.0952380952380952,86.52,4.0,0
100.0,22.0,0.0,43.84,-56.16,0.1509677419354839,372.0,0.0058542112551932,0.0,63544.0,1164.11,0.0,0.0,0.0,0.0,0.0,1
50.0,18.0,87.56,-3.05000000000026,-94.5,0.4126637554585153,229.0,0.0045718620854878,0.9265608465608466,50089.0,1786.26,0.0490186199097555,94.5,0.0043668122270742,87.56,1.0,0
850.0,9.0,1435.68,1.6000000000000156,-848.4,0.5891666666666667,1440.0,0.0038794671120869,1.692220650636492,371185.0,2745.78,0.5228678189803991,40.400000000000006,0.0145833333333333,68.36571428571429,21.0,1
50.0,1.0,436.85,6.799999999999997,-82.14999999999999,0.2381159420289854,345.0,0.0183745206646783,5.317711503347536,18776.0,959.57,0.4552560000833707,20.5375,0.0115942028985507,109.2125,4.0,1
0.0,0.0,0.0,-6.500000000000014,-16.8,0.15,112.0,0.0172307692307692,0.0,6500.0,6692.129999999999,0.0,0.0,0.0,0.0,0.0,0
100.0,11.0,1027.86,79.75999999999989,-110.55999999999996,0.3625,288.0,0.0150982961992136,9.845402298850576,19075.0,3611.2,0.2846311475409837,8.03076923076923,0.0451388888888888,79.06615384615385,13.0,0
600.0,21.0,2876.01,3.679999999999943,-596.32,0.2652514463729415,2247.0,0.0045839274894887,4.825358209456061,490191.0,2324.2700000000004,1.2373820597434892,31.369473684210515,0.0084557187360925,151.36894736842106,19.0,1
500.0,15.0,0.0,345.65,-154.35,3.15,49.0,0.0018693014916262,0.0,26213.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,-0.2500000000000071,-35.85000000000001,0.15,239.0,0.0037440862236425,0.0,63834.0,112.89,0.0,0.0,0.0,0.0,0.0,1
1850.0,2.0,6466.139999999999,-3.949999999999577,-1928.8,0.7168080185042405,2594.0,0.0022367255855021,3.477541142303969,1159731.0,1679.6,3.8498094784472494,41.32,0.0173477255204317,143.69199999999998,45.0,1
350.0,7.0,292.76,6.910000000000018,-343.09,0.1622158820732286,2103.0,0.0066054596338257,0.8581813918039517,318373.0,2915.3900000000003,0.1004188118913764,170.56999999999994,0.0009510223490252,146.38,2.0,0
50.0,1.0,209.9,25.46,-24.54,0.1505521472392638,163.0,0.0077094073688691,8.553382233088834,21143.0,220.0,0.9540909090909092,12.27,0.0122699386503067,104.95,2.0,1
50.0,12.0,0.0,-0.0799999999999983,-50.08,0.9274074074074072,54.0,0.0050218543662233,0.0,10753.0,448.98,0.0,0.0,0.0,0.0,0.0,0
750.0,29.0,5565.9,11.650000000000064,-770.0,0.5,1495.0,0.0114216300461449,7.446020066889631,130892.0,67852.96,0.082028845904438,41.52777777777778,0.0120401337792642,309.21666666666664,18.0,1
50.0,3.0,179.07999999999998,24.24999999999995,-59.1,0.1499999999999999,380.0,0.0113398985377499,3.1417543859649126,33510.0,61.88,2.8939883645766,28.499999999999996,0.0052631578947368,89.53999999999999,2.0,1
250.0,30.0,89.9,-37.17000000000003,-255.76,1.8533333333333335,138.0,0.002233587983944,0.3515014075695964,61784.0,656.3,0.1369800396160292,255.76000000000005,0.0072463768115942,89.9,1.0,0
50.0,1.0,0.0,0.0,-50.0,0.2,250.0,0.0035537613009609,0.0,70348.0,0.0,0.0,0.0,0.0,0.0,0.0,1
950.0,19.0,1147.72,31.91000000000001,-957.29,0.2914800878018186,3189.0,0.0050805414783435,1.2347315309887796,627689.0,2382.9700000000003,0.4816342631254274,92.95299999999996,0.0031357792411414,114.772,10.0,0
0.0,0.0,0.0,42.05,-6.15,0.15,41.0,0.0180776014109347,0.0,2268.0,184.1,0.0,0.0,0.0,0.0,0.0,1
150.0,19.0,0.0,-3.0499999999999936,-151.44999999999996,0.1522110552763818,995.0,0.0025148172018551,0.0,395655.0,146.32,0.0,0.0,0.0,0.0,0.0,1
0.0,30.0,0.0,129.10000000000002,-127.4,0.35,340.0,0.0036162518613061,0.0,94020.0,458.73,0.0,0.0,0.0,0.0,0.0,1
50.0,1.0,0.0,-2.369999999999993,-50.65,1.7465517241379307,29.0,0.0012704253734612,0.0,22827.0,396.26,0.0,0.0,0.0,0.0,0.0,0
50.0,1.0,0.0,40.8,-9.2,0.1877551020408163,49.0,0.0055948846768668,0.0,8758.0,4100.510000000001,0.0,0.0,0.0,0.0,0.0,1
0.0,7.0,414.89,44.59999999999997,-45.3,0.3,151.0,0.1121842496285289,9.158719646799115,1346.0,6481.509999999998,0.0640113183501992,22.65,0.0132450331125827,207.445,2.0,1
50.0,7.0,0.0,47.900000000000006,-2.1,0.1499999999999999,14.0,0.004169148302561,0.0,3358.0,118.68,0.0,0.0,0.0,0.0,0.0,1
50.0,1.0,259.99,5.15000000000002,-243.3,0.2244464944649446,1084.0,0.0054013922038577,1.0685984381422111,200689.0,179.99,1.4444691371742877,243.3,0.0009225092250922,259.99,1.0,1
100.0,2.0,62.19,6.169999999999934,-92.0,0.4423076923076924,208.0,0.0024497968317531,0.6759782608695651,84905.0,5309.75,0.0117124158387871,92.0,0.0048076923076923,62.19,1.0,1
450.0,5.0,0.0,20.32000000000002,-429.68,1.3584304932735427,223.0,0.0015642097584242,0.0,142564.0,3352.6400000000003,0.0,0.0,0.0,0.0,0.0,1
400.0,24.0,585.8,-12.980000000000008,-406.1,0.4667816091954023,870.0,0.003899124713728,1.4425018468357544,223127.0,1390.52,0.4212812473031671,67.68333333333334,0.0068965517241379,97.63333333333333,6.0,1
450.0,0.0,203.13,-0.3699999999999521,-450.37,0.4046451033243486,1113.0,0.003589454164315,0.4510291538068698,310075.0,5740.839999999999,0.0353833236947903,112.5925,0.0035938903863432,50.7825,4.0,1
150.0,9.0,85.9,8.99999999999991,-196.1,0.2313641900121802,821.0,0.0236770007209805,0.4522242695446171,34675.0,1035.2,0.0829791344667697,189.95,0.0012180267965895,85.9,1.0,0
100.0,2.0,0.0,49.5,-100.5,0.5,201.0,0.0037128027042503,0.0,54137.0,299.97,0.0,0.0,0.0,0.0,0.0,0
